Title,Artist
Ditto,NewJeans
사건의 지평선,윤하
OMG,NewJeans
Hype boy,NewJeans
NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
Candy,NCT DREAM
ANTIFRAGILE,LE SSERAFIM (르세라핌)
After LIKE,IVE (아이브)
Attention,NewJeans
Nxde,(여자)아이들
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los"
LOVE DIVE,IVE (아이브)
Monologue,테이 (Tei)
너의 모든 순간,성시경
Cookie,NewJeans
Dreamers (Feat. FIFA Sound),"정국, 방탄소년단"
Shut Down,BLACKPINK
WHEN I MOVE,카라 (KARA)
사랑은 늘 도망가,임영웅
FEARLESS,LE SSERAFIM (르세라핌)
그대를 알고,송하예
Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH)
사랑인가 봐,멜로망스(Melomance)
Pink Venom,BLACKPINK
잘가요,주호
해요 (2022),#안녕
그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
TOMBOY,(여자)아이들
그라데이션,10cm
딱 10CM만,"10cm, BIG Naughty (서동현)"
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
나의 X에게,경서
내가 아니라도,주호
"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh)
자격지심 (Feat. ZICO),BE`O (비오)
취중고백,김민석
오르트구름,윤하
"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik)
ELEVEN,IVE (아이브)
That`s Hilarious,Charlie Puth
Say I Love You,우디(Woody)
다정히 내 이름을 부르면,"경서예지, 전건호"
Snowman,Sia
첫사랑,백아
그댄 행복에 살텐데 (2022),최유리
보고싶었어,WSG워너비 (4FIRE)
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
LOVE me,BE`O (비오)
눈이 오잖아 (Feat.헤이즈),이무진
아픈 나를,성시경
그 겨울이 잠든 거리에서,"경서예지, 전건호"
우리들의 블루스,임영웅
위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang"
Stay,"The Kid LAROI, Justin Bieber"
우린 그렇게 사랑해서,"강민경, 잔나비"
주저하는 연인들을 위해,잔나비
밤하늘의 별을(2020),경서
떠나보낼 준비해 둘걸 그랬어,임한별
"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik)
내 기쁨은 너가 벤틀리를 끄는 거야,김승민
새벽에 걸려온 너의 전화는,한동근
도깨비불 (Illusion),aespa
"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN
다시 만날 수 있을까,임영웅
FOREVER 1,소녀시대
이 소설의 끝을 다시 써보려 해,테이 (Tei)
I Don`t Think That I Like Her,Charlie Puth
That That (prod. & feat. SUGA of BTS),싸이 (Psy)
"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지
봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
Love story,볼빨간사춘기
이제 나만 믿어요,임영웅
Dynamite,방탄소년단
드라마,아이유 (IU)
